ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
412764,0.4504598895197004,0.16505400848835663,Waltz,Republican,centrist Republican follower ,3,65,35,42
412828,0.3631596826672965,0.36442012375002497,Allred,Democrat,centrist Democrat,5,71,126,151
412790,0.3554971326847966,0.02068485573860297,Phillips,Democrat,centrist Democratic follower,4,76,4,4
412819,0.4885708989994019,0.2168090711769334,Green [TN7],Republican,centrist Republican,9,54,56,61
412823,0.5442481151646633,0.13825771548531027,Wright,Republican,centrist Republican follower ,4,92,24,27
412794,0.4204021629298465,0.0037214024297980586,Armstrong,Republican,centrist Republican follower ,0,43,0,0
412816,0.41902544952532245,0.00502444992214868,Johnson [SD0],Republican,centrist Republican follower ,4,31,0,0
412801,0.34574521529764557,0.04175653894335485,Torres Small,Democrat,centrist Democratic follower,5,54,7,10
412822,0.45130951556393195,0.002759946824643595,Gooden,Republican,centrist Republican follower ,0,52,0,0
412829,0.3699580760017257,0.050344332546479055,McAdams,Democrat,centrist Democratic follower,1,40,11,11
412766,0.47867409616756346,0.16409519280300386,Steube,Republican,centrist Republican follower ,8,72,31,40
412774,0.25198735945670486,0.09960259215100259,García,Democrat,moderate Democratic follower,2,152,26,26
412803,0.32295240134630254,0.10080245980283847,Rose [NY11],Democrat,moderate Democratic follower,5,151,30,33
412824,0.355267549127184,0.12438724657116874,Fletcher,Democrat,centrist Democratic follower,3,37,19,21
412799,0.3614868936653441,0.0165666385312123,Sherrill,Democrat,centrist Democratic follower,1,68,3,3
412781,0.2894626581142727,0.07089405031275024,Trahan,Democrat,moderate Democratic follower,5,113,16,18
412818,0.4079073017001725,0.00848876354184782,Rose [TN6],Republican,centrist Republican follower ,0,20,0,0
412814,0.3766902557827888,0.15361184382710125,Cunningham,Democrat,centrist Democrat,3,52,41,47
412772,0.3565988129077964,0.04225671627841299,Axne,Democrat,centrist Democratic follower,3,93,8,8
412813,0.4745572771664577,0.07980232747875012,Reschenthaler,Republican,centrist Republican follower ,4,105,12,13
412820,0.446323640910713,0.017562978284227936,Crenshaw,Republican,centrist Republican follower ,3,54,3,3
412826,0.4451548717191784,0.03242212834527818,Roy,Republican,centrist Republican follower ,2,32,3,3
412807,0.4024709252228823,0.09426617443280909,Gonzalez [OH16],Republican,centrist Republican follower ,2,49,19,19
412765,0.4688173255411111,0.01599794952442412,Spano,Republican,centrist Republican follower ,1,60,3,3
412777,0.41470699289838475,0.00545337783280614,Baird,Republican,centrist Republican follower ,0,29,0,0
412815,0.4492513868303003,0.004606360310770988,Timmons,Republican,centrist Republican follower ,0,35,0,0
412773,0.42533296486985667,0.0481283012730428,Fulcher,Republican,centrist Republican follower ,1,26,7,7
